cct,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
32DPR1090E,-10,-5,3,3,-7,2,-11,-14,5,2,-6,-4,-2,7,-14,0,-2,6,-6,9,-15
32DPR0205I,-84,18,-19,-7,-20,-11,7,-18,7,-8,2,-5,1,2,1,5,4,-4,-5,3,22
32DPR0532C,4,-10,-6,-4,-10,-1,-3,6,-4,-6,2,-2,-2,4,4,-5,4,2,-9,0,-3
32DPR1426Z,-10,-1,-4,1,9,6,-6,6,18,1,15,5,-16,-5,9,4,-13,-3,13,2,-2
32DPR1511X,-1,-3,-2,-1,-5,0,4,-1,0,-9,6,-3,-3,-2,-4,1,-3,0,-2,-1,2
32DPR0689C,3,1,-2,-18,-13,-6,-6,2,9,-3,5,-1,-4,2,1,0,-7,15,4,8,2
32DPR1402Q,-10,-24,24,-28,14,-13,-2,-14,-27,15,-17,-12,22,29,7,-6,15,-9,7,-6,-8
32DPR1317T,-4,-3,2,-8,-3,5,-4,0,-6,4,-2,-2,0,0,14,-1,8,8,5,-6,-8
32DPR0663V,-6,-24,-13,-16,-12,-9,-18,-6,-4,6,4,4,-6,0,13,-12,4,8,1,-1,-9
32DPR0578Y,2,0,7,-12,-1,10,1,-1,-3,7,-18,10,-44,12,8,1,12,14,1,-17,-37
32DPR0421Y,5,2,15,3,1,2,-5,4,-12,-7,13,-2,-16,-7,-1,4,5,2,7,-9,-8
32DPR1208M,-24,-38,-12,-11,-6,5,-9,28,9,-4,-30,15,-13,-22,-36,7,7,3,9,12,14
32EPR0124X,-39,4,7,-21,-16,32,10,-16,14,9,17,11,-32,2,-13,-12,-14,6,-20,-1,-5
32DPR0554O,-5,0,8,-7,-9,-4,2,1,2,3,9,9,-9,1,8,-4,-3,-4,-6,-3,-2
32DPR0312R,13,-21,-1,0,-14,-33,-7,7,-6,-13,-2,-10,8,9,12,7,13,-1,2,-11,-12
32DPR0796L,-16,-17,-18,-6,0,-4,-5,5,2,-3,-7,1,-2,-1,2,15,-4,0,-8,-8,11
32DPR0881I,6,1,-4,-1,2,-1,-8,1,0,-1,-3,-2,-1,-4,-1,-2,-1,1,0,2,-3
